timestamp,4132202a,4132202b,4096834a,4096834b,4143990a,4143990b,4096838a,4096838b,4096906a,4096906b,4161262a,4161262b,4096842a,4096842b,4096846a,4096846b,4133374a,4133374b,4096850a,4096850b,4096854a,4096854b,4144010a,4144010b,4166510a,4166510b,4144030a,4144030b,4096862a,4096862b,4177252a,4177252b,4096938a,4096938b,4144034a,4144034b,4096870a,4096870b,4096998a,4096998b,4096930a,4096930b,4096878a,4096878b,4096882a,4096882b,4096886a,4096886b,4096890a,4096890b,4143982a,4143982b,4143974a,4143974b,4096898a,4096898b,4097058a,4097058b,4096934a,4096934b,4096830a,4096830b
1469707211,6,18,7,19,8,20,10,22,11,23,12,24,13,24,14,25,15,26,16,27,17,28,18,29,1,19,1,20,2,20,2,21,3,22,4,22,4,23,5,24,6,24,6,25,8,27,10,28,11,30,12,31,1,14,1,14,2,16,3,17,3,17
1469707221,6,17,7,18,8,19,10,22,11,23,12,24,13,24,14,25,15,26,16,27,16,28,17,29,1,19,1,19,2,20,2,21,3,21,4,22,4,23,5,23,6,24,6,25,8,27,10,28,11,30,12,31,1,13,1,14,2,16,3,17,3,17
1469707231,6,17,7,18,8,19,10,22,11,23,12,24,12,24,14,25,14,26,16,27,16,28,17,29,1,19,1,19,2,20,2,21,3,21,3,22,4,23,5,23,5,24,6,25,8,26,10,28,11,30,12,31,1,13,1,14,2,16,3,17,3,17
1469707241,6,17,7,18,8,19,10,21,11,22,12,23,12,24,13,25,14,26,15,27,16,28,17,29,1,18,1,19,1,20,2,20,3,21,3,22,4,22,5,23,5,24,6,25,8,26,9,28,11,29,12,31,13,32,1,14,2,16,3,16,3,17
1469707251,3,17,4,18,6,19,8,21,9,22,10,23,11,24,12,25,13,26,14,27,15,28,16,29,1,17,1,18,1,19,2,19,2,20,3,21,4,21,4,22,5,23,6,23,7,25,9,27,11,28,12,30,13,31,1,14,2,15,2,16,3,16
1469707261,3,17,4,18,6,19,8,21,9,22,10,23,11,24,12,25,13,26,14,27,15,27,16,28,1,17,1,18,1,19,2,19,2,20,3,21,3,21,4,22,5,23,6,23,7,25,9,27,10,28,12,29,13,31,1,14,1,15,2,16,2,16
1469707271,3,17,4,18,5,19,8,21,9,22,10,23,10,23,12,25,12,25,14,27,14,27,15,28,17,30,1,18,1,18,1,19,2,20,3,20,3,21,4,22,5,22,5,23,7,25,9,27,10,28,11,29,13,30,1,13,1,15,2,16,2,16
1469707281,3,17,4,18,5,19,8,21,9,22,10,23,10,23,12,25,12,25,14,26,14,27,15,28,17,29,1,17,1,18,1,19,2,19,3,20,3,21,4,21,5,22,5,23,7,25,9,26,10,28,11,29,12,30,1,13,1,15,2,16,2,16
1469707291,2,17,3,17,4,18,6,21,8,22,9,23,9,23,10,24,11,25,12,26,13,27,14,28,16,29,1,16,1,17,1,18,2,18,2,19,3,20,4,20,4,21,5,22,7,24,9,26,10,27,11,28,12,29,1,13,1,15,2,16,2,16
1469707301,1,16,3,17,4,18,6,20,7,21,8,22,9,22,10,24,11,24,12,26,13,26,14,27,15,29,1,16,1,17,1,18,1,18,2,19,3,20,3,20,4,21,5,22,7,24,8,25,10,27,11,28,12,29,13,30,1,15,1,15,1,16
1469707311,1,16,2,16,4,18,6,20,7,21,8,22,9,22,10,23,11,24,12,25,13,26,14,27,15,28,16,29,1,17,1,17,1,18,2,19,3,19,3,20,4,21,5,22,6,23,8,25,10,27,11,28,12,29,13,30,1,14,1,15,1,15
1469707321,1,15,2,16,3,17,5,19,7,20,8,21,8,22,9,23,10,24,11,25,12,26,13,26,15,28,15,29,1,16,1,17,1,17,2,18,2,19,3,19,4,20,5,21,6,23,8,25,9,26,11,27,12,28,13,29,14,31,1,15,1,15
1469707331,1,15,2,16,3,17,5,19,6,20,7,21,8,22,9,23,10,23,11,25,12,25,13,26,14,28,15,28,1,16,1,17,1,17,2,18,2,19,3,19,4,20,4,21,6,23,8,24,9,26,10,27,12,28,12,29,14,31,1,15,1,15
1469707341,1,15,2,16,3,17,5,19,6,20,7,21,8,21,9,23,10,23,11,25,12,25,13,26,14,28,15,28,1,16,1,16,1,17,2,18,2,18,3,19,4,20,4,21,6,22,8,24,9,26,10,27,11,28,12,29,14,30,1,15,1,15
